id,longitude,latitude,altitude
S01,175.1305839,-37.49347129,0
S02,175.1343469,-37.69516859,0
S03,175.3031058,-37.50651868,0
S04,175.0458645,-37.58585899,0
S05,175.3216173,-37.64876127,0
S06,175.2793,-37.787,0
S07,175.4697,-37.8916,0
S08,175.3123,-38.0046,0
S09,175.5283,-37.6583,0
S10,175.7625,-37.8106,0
S12,175.8967364,-38.24024449,0
S13,175.2307883,-38.12098429,0
S14,174.8327051,-38.15938033,0
S15,174.9751116,-38.39566966,0
S16,174.7446658,-38.30899152,0
S17,175.4477621,-38.0842737,0
S18,175.3557403,-38.20519615,0
S19,175.1422749,-37.9108484,0
S20,175.0271427,-38.07250401,0
S21,175.6127141,-38.05679975,0
S22,175.7681597,-37.92823278,0
S23,175.9771731,-37.77411148,0
S24,176.1151917,-37.88311651,0
S25,175.9631014,-37.96487868,0
S26,175.1855349,-38.34040128,0
S27,175.9628805,-38.11213717,0
S28,175.6711173,-38.16902,0
